entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
9,10,2024-08-01 18:00:00+00:00,2024-08-01 20:00:00+00:00,S,63395.7,64849.9,-239.38,9760.62,1
10,11,2024-08-01 20:00:00+00:00,2024-08-01 22:00:00+00:00,L,64849.9,64849.9,-9.76,9750.85,1
12,17,2024-08-02 00:00:00+00:00,2024-08-02 10:00:00+00:00,S,64629.5,64591.5634,-4.03,9746.83,5
19,20,2024-08-02 14:00:00+00:00,2024-08-02 16:00:00+00:00,L,63374.6,63374.6,-9.75,9737.08,1
20,24,2024-08-02 16:00:00+00:00,2024-08-03 00:00:00+00:00,S,63064.5,61288.5,264.48,10001.56,4
24,25,2024-08-03 00:00:00+00:00,2024-08-03 02:00:00+00:00,L,61288.5,61288.5,-10.0,9991.55,1
33,36,2024-08-03 18:00:00+00:00,2024-08-04 00:00:00+00:00,S,60216.3,60713.3,-92.46,9899.1,3
36,37,2024-08-04 00:00:00+00:00,2024-08-04 02:00:00+00:00,L,60713.3,60713.3,-9.9,9889.2,1
39,41,2024-08-04 06:00:00+00:00,2024-08-04 10:00:00+00:00,S,60340.4,60870.0,-96.69,9792.51,2
41,42,2024-08-04 10:00:00+00:00,2024-08-04 12:00:00+00:00,L,60870.0,60870.0,-9.79,9782.72,1
47,48,2024-08-04 22:00:00+00:00,2024-08-05 00:00:00+00:00,S,58131.6,54396.9,618.71,10401.43,1
48,49,2024-08-05 00:00:00+00:00,2024-08-05 02:00:00+00:00,L,54396.9,54396.9,-10.4,10391.03,1
53,55,2024-08-05 10:00:00+00:00,2024-08-05 14:00:00+00:00,S,51302.1,54282.8,-614.12,9776.91,2
55,56,2024-08-05 14:00:00+00:00,2024-08-05 16:00:00+00:00,L,54282.8,54282.8,-9.78,9767.14,1
60,66,2024-08-06 00:00:00+00:00,2024-08-06 12:00:00+00:00,S,55696.7,55425.4568,37.8,9804.93,6
68,69,2024-08-06 16:00:00+00:00,2024-08-06 18:00:00+00:00,L,56471.3,56471.3,-9.8,9795.13,1
72,84,2024-08-07 00:00:00+00:00,2024-08-08 00:00:00+00:00,S,56934.9,55448.1988,245.98,10041.11,12
89,90,2024-08-08 10:00:00+00:00,2024-08-08 12:00:00+00:00,L,57295.1,57295.1,-10.04,10031.07,1
96,103,2024-08-09 00:00:00+00:00,2024-08-09 14:00:00+00:00,S,61367.0,60784.275,85.22,10116.29,7
107,108,2024-08-09 22:00:00+00:00,2024-08-10 00:00:00+00:00,L,60814.9,60814.9,-10.12,10106.17,1
120,127,2024-08-11 00:00:00+00:00,2024-08-11 14:00:00+00:00,S,61089.5,60683.0618,57.13,10163.3,7
132,133,2024-08-12 00:00:00+00:00,2024-08-12 02:00:00+00:00,L,58562.1,58562.1,-10.16,10153.14,1
141,150,2024-08-12 18:00:00+00:00,2024-08-13 12:00:00+00:00,S,59015.6,58951.8018,0.82,10153.96,9
152,153,2024-08-13 16:00:00+00:00,2024-08-13 18:00:00+00:00,L,61132.5,61132.5,-10.15,10143.81,1
156,161,2024-08-14 00:00:00+00:00,2024-08-14 10:00:00+00:00,S,60500.0,61255.6,-136.83,10006.98,5
161,162,2024-08-14 10:00:00+00:00,2024-08-14 12:00:00+00:00,L,61255.6,61255.6,-10.01,9996.97,1
164,168,2024-08-14 16:00:00+00:00,2024-08-15 00:00:00+00:00,S,59131.2,59001.6724,11.9,10008.87,4
168,169,2024-08-15 00:00:00+00:00,2024-08-15 02:00:00+00:00,L,58165.3,58165.3,-10.01,9998.86,1
178,180,2024-08-15 20:00:00+00:00,2024-08-16 00:00:00+00:00,S,57607.8,57522.1,4.88,10003.74,2
180,181,2024-08-16 00:00:00+00:00,2024-08-16 02:00:00+00:00,L,57522.1,57522.1,-10.0,9993.73,1
192,198,2024-08-17 00:00:00+00:00,2024-08-17 12:00:00+00:00,S,59215.0,59308.0,-25.69,9968.04,6
198,199,2024-08-17 12:00:00+00:00,2024-08-17 14:00:00+00:00,L,59308.0,59308.0,-9.97,9958.08,1
204,205,2024-08-18 00:00:00+00:00,2024-08-18 02:00:00+00:00,S,59418.8,59306.7,8.83,9966.91,1
205,206,2024-08-18 02:00:00+00:00,2024-08-18 04:00:00+00:00,L,59306.7,59306.7,-9.97,9956.94,1
215,216,2024-08-18 22:00:00+00:00,2024-08-19 00:00:00+00:00,S,58406.4,58525.0,-30.18,9926.76,1
216,217,2024-08-19 00:00:00+00:00,2024-08-19 02:00:00+00:00,L,58525.0,58525.0,-9.93,9916.84,1
222,223,2024-08-19 12:00:00+00:00,2024-08-19 14:00:00+00:00,S,58177.7,58511.7,-66.85,9849.99,1
223,224,2024-08-19 14:00:00+00:00,2024-08-19 16:00:00+00:00,L,58511.7,58511.7,-9.85,9840.14,1
228,235,2024-08-20 00:00:00+00:00,2024-08-20 14:00:00+00:00,S,60425.0,58804.4,254.07,10094.21,7
235,236,2024-08-20 14:00:00+00:00,2024-08-20 16:00:00+00:00,L,58804.4,58804.4,-10.09,10084.12,1
236,240,2024-08-20 16:00:00+00:00,2024-08-21 00:00:00+00:00,S,59005.0,59250.0,-51.96,10032.16,4
240,241,2024-08-21 00:00:00+00:00,2024-08-21 02:00:00+00:00,L,59250.0,59250.0,-10.03,10022.13,1
252,253,2024-08-22 00:00:00+00:00,2024-08-22 02:00:00+00:00,S,60936.6,60523.6,57.9,10080.03,1
253,254,2024-08-22 02:00:00+00:00,2024-08-22 04:00:00+00:00,L,60523.6,60523.6,-10.08,10069.95,1
260,270,2024-08-22 16:00:00+00:00,2024-08-23 12:00:00+00:00,S,60133.6,61089.6,-170.16,9899.79,10
270,271,2024-08-23 12:00:00+00:00,2024-08-23 14:00:00+00:00,L,61089.6,61089.6,-9.9,9889.89,1
271,272,2024-08-23 14:00:00+00:00,2024-08-23 16:00:00+00:00,S,61504.0,62975.0,-246.43,9643.46,1
272,273,2024-08-23 16:00:00+00:00,2024-08-23 18:00:00+00:00,L,62975.0,62975.0,-9.64,9633.82,1
276,282,2024-08-24 00:00:00+00:00,2024-08-24 12:00:00+00:00,S,63800.2,64192.0,-68.8,9565.02,6
282,283,2024-08-24 12:00:00+00:00,2024-08-24 14:00:00+00:00,L,64192.0,64192.0,-9.57,9555.46,1
283,285,2024-08-24 14:00:00+00:00,2024-08-24 18:00:00+00:00,S,63946.3,64186.3,-45.42,9510.04,2
285,286,2024-08-24 18:00:00+00:00,2024-08-24 20:00:00+00:00,L,64186.3,64186.3,-9.51,9500.53,1
286,296,2024-08-24 20:00:00+00:00,2024-08-25 16:00:00+00:00,S,63593.4,64114.5,-87.35,9413.18,10
296,297,2024-08-25 16:00:00+00:00,2024-08-25 18:00:00+00:00,L,64114.5,64114.5,-9.41,9403.77,1
307,312,2024-08-26 14:00:00+00:00,2024-08-27 00:00:00+00:00,S,63504.2,62970.6,69.61,9473.38,5
312,313,2024-08-27 00:00:00+00:00,2024-08-27 02:00:00+00:00,L,62970.6,62970.6,-9.47,9463.91,1
317,321,2024-08-27 10:00:00+00:00,2024-08-27 18:00:00+00:00,S,62393.8,61975.0449,54.05,9517.96,4
324,325,2024-08-28 00:00:00+00:00,2024-08-28 02:00:00+00:00,L,59345.7,59345.7,-9.52,9508.44,1
332,336,2024-08-28 16:00:00+00:00,2024-08-29 00:00:00+00:00,S,58606.8,58969.1,-68.29,9440.15,4
336,337,2024-08-29 00:00:00+00:00,2024-08-29 02:00:00+00:00,L,58969.1,58969.1,-9.44,9430.71,1
338,339,2024-08-29 04:00:00+00:00,2024-08-29 06:00:00+00:00,S,59409.9,59550.0,-31.67,9399.04,1
