total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100120.74000000,0.00000000,100120.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100120.74000000,0.00000000,100120.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100120.74000000,0.00000000,100120.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100120.74000000,0.00000000,100120.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100120.74000000,0.00000000,100120.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100119.74000000,0.00000000,100119.74000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100268.29000000,0.00000000,100268.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100268.29000000,0.00000000,100268.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100268.29000000,0.00000000,100268.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100267.29000000,0.00000000,100267.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100266.29000000,0.00000000,100266.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100265.29000000,0.00000000,100265.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100264.29000000,0.00000000,100264.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100264.29000000,0.00000000,100264.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100264.29000000,0.00000000,100264.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100264.29000000,0.00000000,100264.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98875.29000000,0.00000000,98875.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98875.29000000,0.00000000,98875.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98875.29000000,0.00000000,98875.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98875.29000000,0.00000000,98875.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98875.29000000,0.00000000,98875.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.29000000,0.00000000,98874.29000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98874.09000000,0.00000000,98874.09000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98613.76000000,0.00000000,98613.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98613.76000000,0.00000000,98613.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98613.76000000,0.00000000,98613.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98613.76000000,0.00000000,98613.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
98613.76000000,0.00000000,98613.76000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
